Tidsmerke,stopp,stopp nr,av,på,stående,sittende,fulle dobbeltseter,setebytter,passasjerer
15.09.2020 kl. 13.45.34,Trondheim S,9,1,0,1,,,,21
15.09.2020 kl. 13.47.44,Olav Tryggvasons ,10,5,2,,,,,18
15.09.2020 kl. 13.50.23,Prinsens gate,11,5,12,,,,,25
15.09.2020 kl. 13.52.50,Nidarosdomen,12,2,4,,,,,27
15.09.2020 kl. 13.54.02,Samfundet ,13,4,2,,,,,25
18.09.2020 kl. 06.43.32,NY RUTE,,,,,,,,
18.09.2020 kl. 06.46.33,Ingemann Torps veg,4,0,5,,13,,,13
18.09.2020 kl. 06.47.31,Ladeveien,5,3,5,,,,,15
18.09.2020 kl. 06.49.03,Anders Buens gate,6,0,1,,,,,16
18.09.2020 kl. 06.50.36,Buran,7,1,4,,,,,19
18.09.2020 kl. 06.52.13,Dyre Halses gate,8,0,2,,,,,21
18.09.2020 kl. 06.54.20,Trondheim S,9,2,6,,,,,25
18.09.2020 kl. 06.56.12,Olav Tryggvasons,10,2,1,0,,,,24
18.09.2020 kl. 06.59.07,Prinsens gate,11,5,3,0,,,,22
18.09.2020 kl. 07.01.41,Nidarosdomen,12,0,3,,,,,25
18.09.2020 kl. 07.02.56,Samfundet,13,3,6,1,,,,28
18.09.2020 kl. 07.04.29,Hesthagen,14,1,0,0,,,1,27
18.09.2020 kl. 07.05.55,Lerkendal,15,1,1,0,,,,27
18.09.2020 kl. 07.07.21,Valøyvegen,16,3,2,,,,,26
18.09.2020 kl. 07.08.22,Bratsbergvegen,17,2,1,,,,,25
18.09.2020 kl. 07.10.19,Kroppanbrua,18,2,0,,,,,23
18.09.2020 kl. 07.13.49,Tonstadkrysset,19,2,1,,,,,22
18.09.2020 kl. 07.14.55,Bjørndalsbrua,20,0,0,,,,,22
18.09.2020 kl. 07.16.23,Bjørndalstoppen,21,2,0,,13,,,20
18.09.2020 kl. 07.17.23,Husebytunet,22,0,0,,,,,20
18.09.2020 kl. 07.18.33,Saupstadsenteret,23,8,2,0,10,,,14
18.09.2020 kl. 07.19.39,Casper Lundes veg,24,0,2,,,,,16
18.09.2020 kl. 07.21.09,Midteggen,25,0,0,,,,,16
18.09.2020 kl. 07.22.26,Skyttervegen,26,0,0,,,,,16
18.09.2020 kl. 07.23.14,Lyngvegen,27,0,0,,,,,16
18.09.2020 kl. 07.24.53,Heimdal stasjon,28,9,0,,,,,7
18.09.2020 kl. 08.20.02,NY RUTE,,,,,,,,
18.09.2020 kl. 08.24.13,Lade idrettsarena,3,3,0,,4,,,4
18.09.2020 kl. 08.25.26,Ingemann Torps veg,4,3,6,,,,,7
18.09.2020 kl. 08.26.34,Ladeveien,5,0,8,,,,,15
18.09.2020 kl. 08.28.08,Anders Buens gate,6,1,5,,,,,19
18.09.2020 kl. 08.29.56,Buran,7,2,3,1,,,,20
18.09.2020 kl. 08.31.58,Dyre Halses veg,8,2,4,0,,,,22
18.09.2020 kl. 08.34.52,Trondheim S,9,1,0,,,,,21
18.09.2020 kl. 08.36.44,Olav Tryggvasons,10,2,1,0,,,,20
18.09.2020 kl. 08.40.10,Prinsens gate,11,5,2,,,,,17
18.09.2020 kl. 08.42.26,Nidarosdomen,12,4,0,,,,,13
18.09.2020 kl. 08.43.35,Samfundet,13,3,4,,,,,14
18.09.2020 kl. 08.45.14,Hesthagen,14,0,0,,,,,14
18.09.2020 kl. 08.46.53,Lerkendal,15,1,0,,,,,13
18.09.2020 kl. 08.48.16,Valøyvegen,16,0,1,,,,,14
18.09.2020 kl. 08.49.25,Bratsbergvegen,17,5,0,,,,,9
18.09.2020 kl. 08.51.10,Kroppanbrua,18,1,0,,,,,8
18.09.2020 kl. 08.55.26,Tonstadkrysset,19,0,0,,,,,8
,Bjørndalsbrua,20,0,0,,,,,8
18.09.2020 kl. 08.56.09,Bjørndalstoppen,21,2,3,,,,,9
18.09.2020 kl. 08.58.03,Husebytunet,22,1,1,,,,,9
18.09.2020 kl. 08.59.08,Saupstadsenteret,23,6,0,,,,,3
18.09.2020 kl. 09.00.22,Casper Lundes veg,24,1,1,,,,,3
18.09.2020 kl. 09.01.46,Midteggen,25,0,3,,,,,6
18.09.2020 kl. 09.02.59,Skyttervegen,26,2,0,,,,,4
18.09.2020 kl. 09.04.23,Lyngvegen ,27,0,0,,,,,4
18.09.2020 kl. 09.06.11,Heimdal stasjon,28,4,0,,0,,,0
